SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
基隆,基隆市,54,細懸浮微粒,普通,3.9,0.16,0.2,,49,23,,11,13.6,2.6,1,343,2021/8/17 16:00,16,26,1,121.760056,25.129167,1
汐止,新北市,53,細懸浮微粒,普通,6.1,0.24,0.3,55.3,43,31,23,13,14.8,1.7,1.7,35,2021/8/17 16:00,16,29,1,121.6423,25.067131,2
萬里,新北市,40,,良好,2.1,0.15,0.2,42.2,43,27,10,4.8,5.8,0.9,2.9,14,2021/8/17 16:00,11,25,1,121.689881,25.179667,3
新店,新北市,49,,良好,1.3,0.27,0.2,71.6,53,29,18,10.2,11.3,1.1,1.2,12,2021/8/17 16:00,12,25,1,121.537778,24.977222,4
土城,新北市,44,,良好,1.9,0.16,0.2,53.9,47,24,10,7.8,8.8,0.9,3,306,2021/8/17 16:00,7,25,1,121.451861,24.982528,5
板橋,新北市,42,,良好,1.3,0.2,0.2,50.6,45,20,9,7.5,8.6,1.1,3.2,310,2021/8/17 16:00,11,23,1,121.458667,25.012972,6
新莊,新北市,40,,良好,1.5,0.3,0.3,43,41,21,12,8.9,10.7,1.8,4.1,252,2021/8/17 16:00,12,23,2,121.4325,25.037972,7
菜寮,新北市,39,,良好,0.9,0.14,0.3,14.9,35,22,13,8.1,9.1,0.9,3.3,294,2021/8/17 16:00,12,22,1,121.481028,25.06895,8
林口,新北市,28,,良好,1.3,0.1,0.1,30.9,30,18,4,5.3,6,0.7,3.5,284,2021/8/17 16:00,7,16,1,121.376869,25.077197,9
淡水,新北市,27,,良好,0.8,0.13,0.1,26.9,29,10,4,2.9,4.1,1.2,1.5,320,2021/8/17 16:00,7,18,0,121.449239,25.1645,10
士林,臺北市,35,,良好,1.4,0.15,0.2,38.1,35,39,11,11.5,13.9,2.4,4.1,314,2021/8/17 16:00,10,31,1,121.515389,25.105417,11
中山,臺北市,42,,良好,1.4,0.26,0.4,38.6,36,32,7,13,15.9,2.9,3,334,2021/8/17 16:00,13,30,1,121.526528,25.062361,12
萬華,臺北市,41,,良好,,0.32,0.3,,40,28,11,,,,2.1,319,2021/8/17 16:00,12,26,1,121.507972,25.046503,13
古亭,臺北市,44,,良好,1.1,0.23,0.2,53.1,48,32,15,12.2,14.8,2.5,1.8,337,2021/8/17 16:00,12,25,0,121.529556,25.020608,14
松山,臺北市,51,細懸浮微粒,普通,3.3,0.25,0.3,59.6,44,38,19,12.4,13.9,1.4,1.6,31,2021/8/17 16:00,15,33,1,121.578611,25.05,15
大同,臺北市,44,,良好,1.7,0.65,1.2,-,-,29,10,20.5,28.6,8.1,-,-,2021/8/17 16:00,13,28,2,121.513311,25.0632,16
桃園,桃園市,29,,良好,1.5,0.15,0.2,22.5,26,42,9,14.1,32.5,18.4,,,2021/8/17 16:00,8,26,1,121.3087222,24.98677778,17
大園,桃園市,22,,良好,1.5,0.09,0.1,,24,11,,3.2,4.5,1.2,3.9,243,2021/8/17 16:00,6,16,1,121.201811,25.060344,18
觀音,桃園市,24,,良好,0.5,0.06,0,20.4,26,8,5,1.5,2.2,0.7,4.4,242,2021/8/17 16:00,5,12,1,121.082761,25.035503,19
平鎮,桃園市,28,,良好,0.5,0.1,0.1,20.7,25,14,6,7,10,3,3,268,2021/8/17 16:00,8,20,1,121.203986,24.952786,20
龍潭,桃園市,31,,良好,0.8,0.08,0.1,29.4,34,12,4,4.5,5.5,0.9,4.1,267,2021/8/17 16:00,8,15,0,121.21635,24.863869,21
湖口,新竹縣,22,,良好,1.3,0.07,0,19,22,11,4,1.8,3.1,1.2,4.2,260,2021/8/17 16:00,6,13,1,121.038653,24.900142,22
竹東,新竹縣,30,,良好,0.5,0.1,0.1,21.7,32,13,0,2.6,3.9,1.3,2.4,258,2021/8/17 16:00,6,16,0,121.088903,24.740644,23
新竹,新竹市,26,,良好,2.2,0.15,0.1,17.5,21,14,11,6.3,9.3,3,3.5,252,2021/8/17 16:00,7,11,1,120.972075,24.805619,24
頭份,苗栗縣,22,,良好,2,0.09,0.1,19,24,7,2,2.3,4.9,2.5,4.4,277,2021/8/17 16:00,4,10,2,120.898572,24.696969,25
苗栗,苗栗縣,23,,良好,1.6,0.04,0.1,16.3,25,11,3,3.6,6.3,2.7,2.6,268,2021/8/17 16:00,4,10,1,120.8202,24.565269,26
三義,苗栗縣,33,,良好,5,0.18,0.1,22.3,,17,10,8.1,12.8,4.6,2.1,281,2021/8/17 16:00,10,18,2,120.758833,24.382942,27
豐原,臺中市,34,,良好,1.9,0.27,0.2,42.4,37,20,8,7.2,9,1.8,3.6,230,2021/8/17 16:00,10,19,1,120.741711,24.256586,28
